depth,batch,batch_label,alpha,lr,step,progress,loss,score,result_json
d12,524288,512K,0.5,0.0075,4800,0.7407407407407407,2.8139015931508253,0.8160663614002971,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a0p5_bsz524288_lr0p0075_s42/result.json
d12,524288,512K,0.5,0.0075,4850,0.7484567901234568,2.80654010650189,0.8160663614002971,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a0p5_bsz524288_lr0p0075_s42/result.json
d12,524288,512K,0.5,0.0075,4900,0.7561728395061729,2.8087178971045073,0.8160663614002971,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a0p5_bsz524288_lr0p0075_s42/result.json
d12,524288,512K,0.5,0.0075,4950,0.7638888888888888,2.8008228676292397,0.8160663614002971,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a0p5_bsz524288_lr0p0075_s42/result.json
d12,524288,512K,0.5,0.0075,5000,0.7716049382716049,2.800288021876467,0.8160663614002971,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a0p5_bsz524288_lr0p0075_s42/result.json
d12,524288,512K,0.5,0.0075,5050,0.779320987654321,2.794329424878788,0.8160663614002971,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a0p5_bsz524288_lr0p0075_s42/result.json
d12,524288,512K,0.5,0.0075,5100,0.7870370370370371,2.7946832361090306,0.8160663614002971,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a0p5_bsz524288_lr0p0075_s42/result.json
d12,524288,512K,0.5,0.0075,5150,0.7947530864197531,2.7769931353828468,0.8160663614002971,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a0p5_bsz524288_lr0p0075_s42/result.json
d12,524288,512K,0.5,0.0075,5200,0.8024691358024691,2.7814828232404425,0.8160663614002971,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a0p5_bsz524288_lr0p0075_s42/result.json
d12,524288,512K,0.5,0.0075,5250,0.8101851851851852,2.7805533665087827,0.8160663614002971,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a0p5_bsz524288_lr0p0075_s42/result.json
d12,524288,512K,0.5,0.0075,5300,0.8179012345679012,2.778226328160825,0.8160663614002971,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a0p5_bsz524288_lr0p0075_s42/result.json
d12,524288,512K,0.5,0.0075,5350,0.8256172839506173,2.776494582404341,0.8160663614002971,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a0p5_bsz524288_lr0p0075_s42/result.json
d12,524288,512K,0.5,0.0075,5400,0.8333333333333334,2.780109777804748,0.8160663614002971,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a0p5_bsz524288_lr0p0075_s42/result.json
d12,524288,512K,0.5,0.0075,5450,0.8410493827160493,2.762680403954039,0.8160663614002971,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a0p5_bsz524288_lr0p0075_s42/result.json
d12,524288,512K,0.5,0.0075,5500,0.8487654320987654,2.762596557215324,0.8160663614002971,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a0p5_bsz524288_lr0p0075_s42/result.json
d12,524288,512K,0.5,0.0075,5550,0.8564814814814815,2.7613079765036663,0.8160663614002971,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a0p5_bsz524288_lr0p0075_s42/result.json
d12,524288,512K,0.5,0.0075,5600,0.8641975308641975,2.7462838213973924,0.8160663614002971,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a0p5_bsz524288_lr0p0075_s42/result.json
d12,524288,512K,0.5,0.0075,5650,0.8719135802469136,2.7487933528375033,0.8160663614002971,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a0p5_bsz524288_lr0p0075_s42/result.json
d12,524288,512K,0.5,0.0075,5700,0.8796296296296297,2.7466330605265057,0.8160663614002971,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a0p5_bsz524288_lr0p0075_s42/result.json
