depth,batch_label,batch,alpha,top_k,lr,seed,score,val_bpb_best,val_bpb_final,train_loss_final,steps_completed,tokens,chinchilla_mult,sweep,result_json
12,2M,2097152,0.75,1,0.02,42,0.8405693282862011,0.8405693282862011,0.8405693282862011,2.783269526072825,1620,3397386240,2.0,sadhika_alpha_2x_001_d12_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d12_2x_alpha/top_aware_k1_a0p75_bsz2097152_lr0p02_s42/result.json
12,2M,2097152,0.75,1,0.03,42,0.8505935426515657,0.8505935426515657,0.8505935426515657,2.8159719485472263,1620,3397386240,2.0,sadhika_alpha_2x_001_d12_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d12_2x_alpha/top_aware_k1_a0p75_bsz2097152_lr0p03_s42/result.json
12,2M,2097152,0.75,1,0.04,42,0.8475385426076715,0.8475385426076715,0.8475385426076715,2.806171658932039,1620,3397386240,2.0,sadhika_alpha_2x_001_d12_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d12_2x_alpha/top_aware_k1_a0p75_bsz2097152_lr0p04_s42/result.json
12,2M,2097152,0.85,1,0.005,42,0.8372619548930141,0.8372619548930141,0.8372619548930141,2.7718750852249876,1620,3397386240,2.0,sadhika_alpha_2x_001_d12_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d12_2x_alpha/top_aware_k1_a0p85_bsz2097152_lr0p005_s42/result.json
12,2M,2097152,0.85,1,0.0075,42,0.8456925145227066,0.8456925145227066,0.8456925145227066,2.797942637471491,1620,3397386240,2.0,sadhika_alpha_2x_001_d12_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d12_2x_alpha/top_aware_k1_a0p85_bsz2097152_lr0p0075_s42/result.json
12,2M,2097152,0.85,1,0.01,42,0.843967347404328,0.843967347404328,0.843967347404328,2.793356349734609,1620,3397386240,2.0,sadhika_alpha_2x_001_d12_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d12_2x_alpha/top_aware_k1_a0p85_bsz2097152_lr0p01_s42/result.json
12,2M,2097152,0.85,1,0.015,42,0.8321219582582785,0.8321219582582785,0.8321219582582785,2.7561273096980026,1620,3397386240,2.0,sadhika_alpha_2x_001_d12_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d12_2x_alpha/top_aware_k1_a0p85_bsz2097152_lr0p015_s42/result.json
12,2M,2097152,0.85,1,0.02,42,0.8416963495537579,0.8416963495537579,0.8416963495537579,2.7869698627270734,1620,3397386240,2.0,sadhika_alpha_2x_001_d12_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d12_2x_alpha/top_aware_k1_a0p85_bsz2097152_lr0p02_s42/result.json
12,2M,2097152,0.85,1,0.03,42,0.8506002813025804,0.8506002813025804,0.8506002813025804,2.8158802080279055,1620,3397386240,2.0,sadhika_alpha_2x_001_d12_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d12_2x_alpha/top_aware_k1_a0p85_bsz2097152_lr0p03_s42/result.json
12,2M,2097152,0.85,1,0.04,42,0.8446722247921892,0.8446722247921892,0.8446722247921892,2.79777755748312,1620,3397386240,2.0,sadhika_alpha_2x_001_d12_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d12_2x_alpha/top_aware_k1_a0p85_bsz2097152_lr0p04_s42/result.json
