depth,optimizer,batch_size,batch_label,lr,seed,score_best_val_bpb,final_val_bpb,train_loss_final,steps_completed,max_steps,eval_time_seconds,error,precondition_frequency,architecture,path
12,adamw,524288,512K,0.005,42,0.9027575850736543,0.9027575850736543,2.976992501063494,6480.0,6480,552.2665905952454,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d12_opt_baselines_001/adamw_bsz524288_lr0p005_s42/result.json
12,adamw,524288,512K,0.0075,42,2.135796599872629,2.135796599872629,6.959333550251502,6480.0,6480,592.104252576828,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d12_opt_baselines_001/adamw_bsz524288_lr0p0075_s42/result.json
12,adamw,524288,512K,0.01,42,2.157529401522583,2.157529401522583,7.038194466237559,6480.0,6480,576.306370973587,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d12_opt_baselines_001/adamw_bsz524288_lr0p01_s42/result.json
12,adamw,524288,512K,0.015,42,2.217741349638787,2.217741349638787,7.235289788757321,6480.0,6480,546.8078348636627,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d12_opt_baselines_001/adamw_bsz524288_lr0p015_s42/result.json
12,adamw,524288,512K,0.02,42,2.2095817852219444,2.2095817852219444,7.2087846784935685,6480.0,6480,547.842301607132,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d12_opt_baselines_001/adamw_bsz524288_lr0p02_s42/result.json
12,adamw,524288,512K,0.03,42,2.224714621642589,2.224714621642589,7.2572286732361935,6480.0,6480,558.3167459964752,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d12_opt_baselines_001/adamw_bsz524288_lr0p03_s42/result.json
12,adamw,524288,512K,0.04,42,2.255906460476029,2.255906460476029,7.361193431195511,6480.0,6480,517.0785458087921,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d12_opt_baselines_001/adamw_bsz524288_lr0p04_s42/result.json
12,adamw,2097152,2M,0.005,42,1.9862233281917556,2.1402016487950832,6.9873091117089094,1620.0,1620,867.4955306053162,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d12_opt_baselines_001/adamw_bsz2097152_lr0p005_s42/result.json
12,adamw,2097152,2M,0.0075,42,2.0250110034324207,2.197284544164844,7.174227071004951,1620.0,1620,883.3926868438721,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d12_opt_baselines_001/adamw_bsz2097152_lr0p0075_s42/result.json
12,adamw,2097152,2M,0.01,42,2.029604154914382,2.2027741536076006,7.197801638616232,1620.0,1620,869.9545936584473,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d12_opt_baselines_001/adamw_bsz2097152_lr0p01_s42/result.json
12,adamw,2097152,2M,0.015,42,2.100720109875742,2.241467197899608,7.32476204745046,1620.0,1620,855.8415153026581,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d12_opt_baselines_001/adamw_bsz2097152_lr0p015_s42/result.json
12,adamw,2097152,2M,0.02,42,2.096276368053913,2.197104991721678,7.174244809956998,1620.0,1620,869.1736636161804,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d12_opt_baselines_001/adamw_bsz2097152_lr0p02_s42/result.json
12,adamw,2097152,2M,0.03,42,2.125467334746276,2.2208106964880674,7.254430209471978,1620.0,1620,882.0837109088898,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d12_opt_baselines_001/adamw_bsz2097152_lr0p03_s42/result.json
12,adamw,2097152,2M,0.04,42,2.1502997709457703,2.2373025666552917,7.310135066851282,1620.0,1620,857.9298615455627,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d12_opt_baselines_001/adamw_bsz2097152_lr0p04_s42/result.json
12,adamw,8388608,8M,0.005,42,1.9702215680832789,2.019685585206861,6.604831469119454,405.0,405,791.9801874160767,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d12_opt_baselines_001/adamw_bsz8388608_lr0p005_s42/result.json
12,adamw,8388608,8M,0.0075,42,2.01454261776899,2.0436850371906017,6.684211203236773,405.0,405,768.324413061142,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d12_opt_baselines_001/adamw_bsz8388608_lr0p0075_s42/result.json
12,adamw,8388608,8M,0.01,42,2.015437336723072,2.0175687792848858,6.584569377081411,405.0,405,773.8783564567566,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d12_opt_baselines_001/adamw_bsz8388608_lr0p01_s42/result.json
12,adamw,8388608,8M,0.015,42,2.07341625530195,2.084227949874066,6.8112546741601445,405.0,405,785.9873096942902,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d12_opt_baselines_001/adamw_bsz8388608_lr0p015_s42/result.json
12,adamw,8388608,8M,0.02,42,2.121009246119061,2.121009246119061,6.93254590503976,405.0,405,786.250408411026,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d12_opt_baselines_001/adamw_bsz8388608_lr0p02_s42/result.json
12,adamw,8388608,8M,0.03,42,2.088340410916978,2.1749374383933553,7.113504543969688,405.0,405,1155.9742166996002,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d12_opt_baselines_001/adamw_bsz8388608_lr0p03_s42/result.json
